timestamp,label,buildId,cpuMs,syncMs,rdpMs,renderMs,totalMs,instrPerSec,n64Fps,browserFps
1775803058247,baseline-clean,Apr 10 2026 01:37:12,3.43,207.14,0.00,0.00,210.60,0.00,0.0,0.0
1775803063264,baseline-clean,Apr 10 2026 01:37:12,25.62,31.81,0.00,0.34,57.98,19.96,40.3,17.1
1775803068290,baseline-clean,Apr 10 2026 01:37:12,19.50,32.01,7.54,0.35,52.06,20.03,33.8,19.1
1775803073307,baseline-clean,Apr 10 2026 01:37:12,16.33,36.74,13.00,0.34,53.64,23.12,33.1,18.5
1775803078326,baseline-clean,Apr 10 2026 01:37:12,16.02,35.95,12.70,0.35,52.54,22.70,32.3,18.9
1775803083340,baseline-clean,Apr 10 2026 01:37:12,15.47,37.01,14.24,0.34,53.05,21.30,31.1,18.8
1775803088374,baseline-clean,Apr 10 2026 01:37:12,12.55,41.40,14.29,0.34,54.40,11.41,24.4,18.3
1775803093389,baseline-clean,Apr 10 2026 01:37:12,7.40,46.42,17.49,0.33,54.21,5.20,18.1,18.3
1775803098407,baseline-clean,Apr 10 2026 01:37:12,7.24,47.84,18.20,0.33,55.46,4.66,17.3,17.9
1775803103422,baseline-clean,Apr 10 2026 01:37:12,7.38,46.83,18.71,0.34,54.61,4.79,17.9,18.1
1775803108428,baseline-clean,Apr 10 2026 01:37:12,7.81,43.65,18.59,0.32,51.86,5.95,20.0,19.2
1775803113452,baseline-clean,Apr 10 2026 01:37:12,7.97,44.22,18.95,0.34,52.59,6.06,20.1,18.9
1775803182463,sync16,Apr 10 2026 01:39:12,5.13,213.55,0.00,0.00,218.70,0.00,0.0,0.0
1775803187482,sync16,Apr 10 2026 01:39:12,31.55,18.83,0.00,0.35,50.86,12.73,25.9,19.5
1775803192522,sync16,Apr 10 2026 01:39:12,32.35,17.72,0.00,0.39,50.57,11.37,22.4,19.6
1775803197559,sync16,Apr 10 2026 01:39:12,27.34,23.79,5.54,0.38,51.63,11.94,20.0,19.3
1775803202574,sync16,Apr 10 2026 01:39:12,24.70,26.21,7.02,0.37,51.40,12.58,17.9,19.3
1775803207592,sync16,Apr 10 2026 01:39:12,25.12,26.65,7.27,0.39,52.30,12.70,18.1,18.9
1775803212597,sync16,Apr 10 2026 01:39:12,24.92,26.40,7.14,0.37,51.82,12.88,18.4,19.2
1775803217646,sync16,Apr 10 2026 01:39:12,25.08,26.72,7.36,0.37,52.30,12.76,18.2,19.0
1775803222668,sync16,Apr 10 2026 01:39:12,24.75,26.24,7.09,0.36,51.48,12.83,18.3,19.3
1775803227683,sync16,Apr 10 2026 01:39:12,25.59,28.15,8.65,0.36,54.22,12.27,18.3,18.3
1775803232711,sync16,Apr 10 2026 01:39:12,17.74,35.03,11.74,0.34,53.18,6.59,17.3,18.7
1775803237717,sync16,Apr 10 2026 01:39:12,12.82,42.12,15.42,0.34,55.32,4.34,15.2,18.0
1775803373508,rsp-simd,Apr 10 2026 01:39:12,13.98,38.13,11.60,0.37,52.55,5.78,11.3,18.9
1775803378556,rsp-simd,Apr 10 2026 01:39:12,15.12,36.74,11.71,0.34,52.27,6.89,13.1,19.0
1775803383590,rsp-simd,Apr 10 2026 01:39:12,16.34,35.88,11.74,0.36,52.66,7.19,13.5,18.9
1775803388633,rsp-simd,Apr 10 2026 01:39:12,16.70,35.07,11.63,0.35,52.20,7.55,14.3,19.0
